sku,tipo_produto,data,prazo_entrega,tempo_entrega,nivel_estoque,qtd_vendida,preco_unitario,receita,otd_flag
SKU0354,Endoscópios,2020-12-20,1.0,2.4,179,48,5000,240000,0
SKU0355,Cosméticos Médicos,2020-12-21,1.1,1.0,207,36,150,5400,1
SKU0356,Medicamentos,2020-12-22,1.6,1.8,191,47,80,3760,0
SKU0357,OPME,2020-12-23,1.7,1.0,186,41,12000,492000,1
SKU0358,Suturas,2020-12-24,1.7,1.3,187,32,50,1600,1
SKU0359,OPME,2020-12-25,1.0,1.0,190,24,12000,288000,1
SKU0360,Medicamentos,2020-12-26,1.0,1.6,206,49,80,3920,0
SKU0361,Medicamentos,2020-12-27,1.1,1.0,182,49,80,3920,1
SKU0362,Medicamentos,2020-12-28,1.0,1.0,193,45,80,3600,1
SKU0363,OPME,2020-12-29,1.0,1.0,202,20,12000,240000,1
SKU0364,Medicamentos,2020-12-30,1.7,5.1,206,29,80,2320,0
SKU0365,OPME,2020-12-31,2.1,1.0,201,22,12000,264000,1
SKU0366,Medicamentos,2021-01-01,1.0,1.0,190,40,80,3200,1
SKU0367,Cosméticos Médicos,2021-01-02,1.0,1.2,204,51,150,7650,0
SKU0368,Medicamentos,2021-01-03,1.9,1.0,188,22,80,1760,1
SKU0369,OPME,2021-01-04,3.8,4.2,199,53,12000,636000,0
SKU0370,Endoscópios,2021-01-05,1.1,1.7,223,47,5000,235000,0
SKU0371,Medicamentos,2021-01-06,1.0,1.0,195,46,80,3680,1
SKU0372,Endoscópios,2021-01-07,1.0,1.0,216,63,5000,315000,1
SKU0373,Cosméticos Médicos,2021-01-08,3.1,2.0,205,23,150,3450,1
SKU0374,Suturas,2021-01-09,1.0,3.7,215,60,50,3000,0
SKU0375,Cosméticos Médicos,2021-01-10,1.0,1.0,218,27,150,4050,1
SKU0376,Medicamentos,2021-01-11,1.0,1.4,196,35,80,2800,0
SKU0377,Endoscópios,2021-01-12,1.0,1.0,207,55,5000,275000,1
SKU0378,Endoscópios,2021-01-13,1.3,1.0,219,61,5000,305000,1
SKU0379,OPME,2021-01-14,3.1,3.8,193,38,12000,456000,0
SKU0380,Endoscópios,2021-01-15,1.6,1.0,197,43,5000,215000,1
SKU0381,OPME,2021-01-16,1.0,1.0,196,47,12000,564000,1
SKU0382,Suturas,2021-01-17,1.0,1.4,197,52,50,2600,0
SKU0383,Medicamentos,2021-01-18,1.0,1.0,204,25,80,2000,1
SKU0384,OPME,2021-01-19,2.0,1.1,179,46,12000,552000,1
SKU0385,Suturas,2021-01-20,1.3,2.4,193,37,50,1850,0
SKU0386,Endoscópios,2021-01-21,1.0,2.0,218,41,5000,205000,0
SKU0387,Endoscópios,2021-01-22,5.9,7.6,174,32,5000,160000,0
SKU0388,Suturas,2021-01-23,1.8,1.1,187,37,50,1850,1
SKU0389,Endoscópios,2021-01-24,1.0,1.0,202,58,5000,290000,1
SKU0390,Suturas,2021-01-25,1.0,2.9,181,37,50,1850,0
SKU0391,OPME,2021-01-26,2.4,3.0,202,58,12000,696000,0
SKU0392,OPME,2021-01-27,1.0,1.0,196,26,12000,312000,1
SKU0393,Suturas,2021-01-28,1.0,1.0,204,49,50,2450,1
SKU0394,OPME,2021-01-29,2.1,1.0,204,53,12000,636000,1
SKU0395,OPME,2021-01-30,1.0,1.0,191,45,12000,540000,1
SKU0396,OPME,2021-01-31,3.5,5.3,213,47,12000,564000,0
SKU0397,Cosméticos Médicos,2021-02-01,2.6,1.2,195,41,150,6150,1
SKU0398,Medicamentos,2021-02-02,1.0,1.0,202,54,80,4320,1
SKU0399,Endoscópios,2021-02-03,3.0,4.5,194,51,5000,255000,0
SKU0400,Cosméticos Médicos,2021-02-04,1.1,1.0,203,25,150,3750,1
SKU0401,OPME,2021-02-05,2.0,1.0,206,55,12000,660000,1
SKU0402,Suturas,2021-02-06,2.1,3.9,176,32,50,1600,0
SKU0403,OPME,2021-02-07,1.0,1.0,188,28,12000,336000,1
SKU0404,Medicamentos,2021-02-08,1.0,1.0,216,59,80,4720,1
SKU0405,OPME,2021-02-09,2.2,2.7,213,39,12000,468000,0
SKU0406,Suturas,2021-02-10,1.0,1.9,196,51,50,2550,0
SKU0407,Medicamentos,2021-02-11,1.0,1.0,186,28,80,2240,1
SKU0408,OPME,2021-02-12,1.0,1.0,184,18,12000,216000,1
SKU0409,Medicamentos,2021-02-13,1.6,2.2,212,42,80,3360,0
SKU0410,Endoscópios,2021-02-14,4.2,4.4,215,25,5000,125000,0
SKU0411,Endoscópios,2021-02-15,1.0,1.0,230,57,5000,285000,1
SKU0412,OPME,2021-02-16,1.0,1.0,207,32,12000,384000,1
SKU0413,Medicamentos,2021-02-17,3.1,2.8,205,38,80,3040,1
SKU0414,Suturas,2021-02-18,1.3,1.0,186,21,50,1050,1
SKU0415,OPME,2021-02-19,1.4,1.0,201,31,12000,372000,1
SKU0416,Endoscópios,2021-02-20,1.0,1.0,210,53,5000,265000,1
SKU0417,Endoscópios,2021-02-21,1.7,1.0,180,23,5000,115000,1
SKU0418,OPME,2021-02-22,1.0,1.0,200,45,12000,540000,1
SKU0419,Medicamentos,2021-02-23,2.5,2.8,224,63,80,5040,0
SKU0420,Endoscópios,2021-02-24,2.9,4.3,215,50,5000,250000,0
SKU0421,Medicamentos,2021-02-25,4.9,4.2,194,50,80,4000,1
SKU0422,Endoscópios,2021-02-26,2.0,2.8,183,22,5000,110000,0
SKU0423,Endoscópios,2021-02-27,1.6,2.6,203,30,5000,150000,0
SKU0424,Cosméticos Médicos,2021-02-28,1.3,2.0,224,62,150,9300,0
SKU0425,Endoscópios,2021-03-01,1.0,1.0,207,50,5000,250000,1
SKU0426,Suturas,2021-03-02,1.9,2.9,201,45,50,2250,0
SKU0427,OPME,2021-03-03,1.0,1.0,197,45,12000,540000,1
SKU0428,OPME,2021-03-04,1.0,1.0,201,36,12000,432000,1
SKU0429,Medicamentos,2021-03-05,3.0,1.0,186,20,80,1600,1
SKU0430,Endoscópios,2021-03-06,1.0,1.0,187,48,5000,240000,1
SKU0431,Suturas,2021-03-07,3.1,7.7,207,48,50,2400,0
SKU0432,Medicamentos,2021-03-08,3.0,2.4,203,39,80,3120,1
SKU0433,Cosméticos Médicos,2021-03-09,1.0,1.0,192,53,150,7950,1
SKU0434,Medicamentos,2021-03-10,1.0,1.0,186,31,80,2480,1
SKU0435,Medicamentos,2021-03-11,1.0,1.0,193,30,80,2400,1
SKU0436,Endoscópios,2021-03-12,3.0,5.1,192,52,5000,260000,0
SKU0437,Cosméticos Médicos,2021-03-13,1.0,1.0,222,57,150,8550,1
SKU0438,Medicamentos,2021-03-14,1.0,1.0,189,38,80,3040,1
SKU0439,Suturas,2021-03-15,1.0,1.8,192,24,50,1200,0
SKU0440,Suturas,2021-03-16,2.7,3.5,218,31,50,1550,0
SKU0441,OPME,2021-03-17,1.5,1.6,184,42,12000,504000,0
SKU0442,Cosméticos Médicos,2021-03-18,1.0,2.2,200,35,150,5250,0
SKU0443,Cosméticos Médicos,2021-03-19,1.0,1.8,220,58,150,8700,0
SKU0444,OPME,2021-03-20,1.0,1.0,222,64,12000,768000,1
SKU0445,Medicamentos,2021-03-21,1.0,1.0,199,51,80,4080,1
SKU0446,Cosméticos Médicos,2021-03-22,3.4,3.3,207,36,150,5400,1
SKU0447,Suturas,2021-03-23,1.0,1.4,193,49,50,2450,0
SKU0448,Suturas,2021-03-24,3.2,4.6,170,28,50,1400,0
SKU0449,Endoscópios,2021-03-25,3.4,3.5,198,26,5000,130000,0
SKU0450,Cosméticos Médicos,2021-03-26,2.5,4.3,197,21,150,3150,0
SKU0451,Medicamentos,2021-03-27,1.0,1.0,184,32,80,2560,1
SKU0452,OPME,2021-03-28,1.3,1.0,201,56,12000,672000,1
SKU0453,OPME,2021-03-29,1.0,1.0,192,28,12000,336000,1
SKU0454,Medicamentos,2021-03-30,1.0,1.0,174,24,80,1920,1
SKU0455,Endoscópios,2021-03-31,1.6,3.6,174,51,5000,255000,0
SKU0456,OPME,2021-04-01,1.0,1.0,211,22,12000,264000,1
SKU0457,Cosméticos Médicos,2021-04-02,2.8,1.5,209,53,150,7950,1
SKU0458,Endoscópios,2021-04-03,1.0,4.2,199,32,5000,160000,0
SKU0459,Cosméticos Médicos,2021-04-04,1.3,1.7,212,22,150,3300,0
SKU0460,Suturas,2021-04-05,1.8,4.5,194,55,50,2750,0
SKU0461,Endoscópios,2021-04-06,1.0,1.0,206,26,5000,130000,1
SKU0462,OPME,2021-04-07,1.6,1.9,218,45,12000,540000,0
SKU0463,Endoscópios,2021-04-08,1.0,1.7,212,32,5000,160000,0
SKU0464,Endoscópios,2021-04-09,2.4,4.5,220,24,5000,120000,0
SKU0465,Endoscópios,2021-04-10,1.0,1.0,201,22,5000,110000,1
SKU0466,Endoscópios,2021-04-11,1.3,2.7,174,21,5000,105000,0
SKU0467,Cosméticos Médicos,2021-04-12,3.9,3.4,228,26,150,3900,1
SKU0468,Suturas,2021-04-13,1.0,1.0,205,51,50,2550,1
SKU0469,Medicamentos,2021-04-14,1.0,1.0,178,35,80,2800,1
SKU0470,Endoscópios,2021-04-15,1.9,3.5,211,35,5000,175000,0
SKU0471,OPME,2021-04-16,1.0,1.0,192,35,12000,420000,1
SKU0472,Endoscópios,2021-04-17,1.6,3.4,174,49,5000,245000,0
SKU0473,OPME,2021-04-18,1.4,3.2,189,53,12000,636000,0
SKU0474,Cosméticos Médicos,2021-04-19,2.0,1.0,228,55,150,8250,1
SKU0475,OPME,2021-04-20,2.4,1.0,196,54,12000,648000,1
SKU0476,Medicamentos,2021-04-21,1.6,1.4,193,31,80,2480,1
SKU0477,Suturas,2021-04-22,1.0,1.9,206,36,50,1800,0
SKU0478,OPME,2021-04-23,1.7,1.0,168,37,12000,444000,1
SKU0479,OPME,2021-04-24,3.5,4.5,202,45,12000,540000,0
SKU0480,Suturas,2021-04-25,1.2,2.3,201,39,50,1950,0
SKU0481,Medicamentos,2021-04-26,1.0,1.0,188,33,80,2640,1
SKU0482,Endoscópios,2021-04-27,2.8,1.0,188,55,5000,275000,1
SKU0483,OPME,2021-04-28,1.0,1.0,197,52,12000,624000,1
SKU0484,Suturas,2021-04-29,1.0,1.0,202,37,50,1850,1
SKU0485,Cosméticos Médicos,2021-04-30,2.3,1.0,222,54,150,8100,1
SKU0486,Suturas,2021-05-01,1.0,2.4,178,27,50,1350,0
SKU0487,Cosméticos Médicos,2021-05-02,1.0,1.0,227,27,150,4050,1
SKU0488,Medicamentos,2021-05-03,1.5,6.4,201,34,80,2720,0
SKU0489,Endoscópios,2021-05-04,1.4,5.0,177,31,5000,155000,0
SKU0490,Suturas,2021-05-05,2.5,3.2,223,23,50,1150,0
SKU0491,OPME,2021-05-06,1.0,1.0,207,54,12000,648000,1
SKU0492,Medicamentos,2021-05-07,1.8,3.3,204,35,80,2800,0
SKU0493,Suturas,2021-05-08,1.0,4.0,210,45,50,2250,0
SKU0494,OPME,2021-05-09,1.8,1.0,198,22,12000,264000,1
SKU0495,Suturas,2021-05-10,2.3,1.0,185,24,50,1200,1
SKU0496,Cosméticos Médicos,2021-05-11,1.0,1.0,192,53,150,7950,1
SKU0497,Suturas,2021-05-12,3.0,5.1,184,40,50,2000,0
SKU0498,Suturas,2021-05-13,1.0,1.6,181,52,50,2600,0
SKU0499,Suturas,2021-05-14,2.6,5.3,189,56,50,2800,0
SKU0500,Medicamentos,2021-05-15,1.6,1.0,190,33,80,2640,1
SKU0501,Suturas,2021-05-16,4.2,2.3,220,35,50,1750,1
SKU0502,OPME,2021-05-17,1.0,1.5,205,55,12000,660000,0
SKU0503,Cosméticos Médicos,2021-05-18,1.0,1.0,195,58,150,8700,1
SKU0504,Cosméticos Médicos,2021-05-19,1.0,1.0,207,46,150,6900,1
SKU0505,Suturas,2021-05-20,1.0,1.5,191,49,50,2450,0
SKU0506,Medicamentos,2021-05-21,2.2,3.4,179,45,80,3600,0
SKU0507,Medicamentos,2021-05-22,1.0,1.0,200,34,80,2720,1
SKU0508,OPME,2021-05-23,1.0,1.0,189,40,12000,480000,1
SKU0509,Suturas,2021-05-24,1.0,1.0,193,51,50,2550,1
SKU0510,Cosméticos Médicos,2021-05-25,2.4,1.9,193,45,150,6750,1
SKU0511,Medicamentos,2021-05-26,3.6,1.5,221,23,80,1840,1
SKU0512,Suturas,2021-05-27,1.2,1.0,198,33,50,1650,1
SKU0513,Medicamentos,2021-05-28,1.0,1.5,219,28,80,2240,0
SKU0514,Medicamentos,2021-05-29,1.1,1.6,230,33,80,2640,0
SKU0515,Cosméticos Médicos,2021-05-30,2.7,3.0,193,54,150,8100,0
SKU0516,Endoscópios,2021-05-31,1.0,1.0,202,21,5000,105000,1
SKU0517,OPME,2021-06-01,1.1,1.0,197,28,12000,336000,1
SKU0518,OPME,2021-06-02,2.2,1.0,210,34,12000,408000,1
SKU0519,Cosméticos Médicos,2021-06-03,1.8,2.0,228,50,150,7500,0
SKU0520,Medicamentos,2021-06-04,1.3,3.4,188,38,80,3040,0
SKU0521,Suturas,2021-06-05,2.9,1.9,162,23,50,1150,1
SKU0522,Medicamentos,2021-06-06,1.0,1.0,180,23,80,1840,1
SKU0523,Cosméticos Médicos,2021-06-07,2.0,2.5,209,30,150,4500,0
SKU0524,OPME,2021-06-08,1.0,1.7,189,37,12000,444000,0
SKU0525,Medicamentos,2021-06-09,1.0,1.0,188,28,80,2240,1
SKU0526,OPME,2021-06-10,1.5,1.0,179,51,12000,612000,1
SKU0527,Suturas,2021-06-11,3.5,1.9,188,36,50,1800,1
SKU0528,OPME,2021-06-12,1.0,1.0,222,24,12000,288000,1
SKU0529,OPME,2021-06-13,2.1,4.6,194,47,12000,564000,0
SKU0530,Endoscópios,2021-06-14,3.5,4.3,196,32,5000,160000,0
SKU0531,Endoscópios,2021-06-15,3.1,3.3,198,45,5000,225000,0
SKU0532,Endoscópios,2021-06-16,3.6,4.4,230,35,5000,175000,0
SKU0533,OPME,2021-06-17,1.8,1.3,202,43,12000,516000,1
SKU0534,Cosméticos Médicos,2021-06-18,1.1,1.0,186,47,150,7050,1
SKU0535,OPME,2021-06-19,1.0,1.0,187,53,12000,636000,1
SKU0536,Cosméticos Médicos,2021-06-20,1.0,1.0,184,28,150,4200,1
SKU0537,Cosméticos Médicos,2021-06-21,1.0,1.0,204,34,150,5100,1
SKU0538,Endoscópios,2021-06-22,4.4,3.3,195,37,5000,185000,1
SKU0539,Medicamentos,2021-06-23,1.0,2.7,203,57,80,4560,0
SKU0540,Suturas,2021-06-24,1.6,3.2,173,48,50,2400,0
SKU0541,Endoscópios,2021-06-25,1.9,1.3,215,25,5000,125000,1
SKU0542,Endoscópios,2021-06-26,1.2,2.8,215,27,5000,135000,0
SKU0543,Medicamentos,2021-06-27,3.5,2.8,180,35,80,2800,1
SKU0544,Suturas,2021-06-28,1.0,1.0,192,23,50,1150,1
SKU0545,OPME,2021-06-29,1.0,1.0,213,36,12000,432000,1
SKU0546,OPME,2021-06-30,1.0,1.0,200,25,12000,300000,1
SKU0547,Endoscópios,2021-07-01,1.0,1.0,196,44,5000,220000,1
SKU0548,Suturas,2021-07-02,1.0,1.0,182,52,50,2600,1
SKU0549,Endoscópios,2021-07-03,1.0,1.0,170,50,5000,250000,1
SKU0550,Cosméticos Médicos,2021-07-04,1.0,1.0,186,32,150,4800,1
SKU0551,Endoscópios,2021-07-05,1.0,1.0,194,42,5000,210000,1
SKU0552,Endoscópios,2021-07-06,1.0,1.0,216,58,5000,290000,1
SKU0553,OPME,2021-07-07,1.0,1.0,201,24,12000,288000,1
SKU0554,OPME,2021-07-08,1.0,1.0,206,49,12000,588000,1
SKU0555,OPME,2021-07-09,1.8,1.0,206,37,12000,444000,1
SKU0556,Cosméticos Médicos,2021-07-10,1.1,1.8,169,23,150,3450,0
SKU0557,OPME,2021-07-11,1.0,1.0,202,36,12000,432000,1
SKU0558,Suturas,2021-07-12,1.0,1.8,179,20,50,1000,0
SKU0559,Medicamentos,2021-07-13,1.0,1.0,187,44,80,3520,1
SKU0560,Suturas,2021-07-14,1.9,2.9,192,28,50,1400,0
SKU0561,Suturas,2021-07-15,3.4,6.7,183,29,50,1450,0
SKU0562,OPME,2021-07-16,1.0,1.0,214,26,12000,312000,1
SKU0563,Medicamentos,2021-07-17,1.2,1.0,200,54,80,4320,1
SKU0564,Medicamentos,2021-07-18,1.0,1.1,209,41,80,3280,0
SKU0565,Medicamentos,2021-07-19,2.0,1.6,189,40,80,3200,1
SKU0566,Cosméticos Médicos,2021-07-20,1.3,1.3,203,43,150,6450,1
SKU0567,OPME,2021-07-21,1.0,1.0,190,34,12000,408000,1
SKU0568,Medicamentos,2021-07-22,1.0,1.0,182,25,80,2000,1
SKU0569,Cosméticos Médicos,2021-07-23,1.0,1.0,196,48,150,7200,1
SKU0570,Endoscópios,2021-07-24,2.7,1.5,219,27,5000,135000,1
SKU0571,Endoscópios,2021-07-25,1.1,1.0,201,24,5000,120000,1
SKU0572,Cosméticos Médicos,2021-07-26,3.9,1.8,208,50,150,7500,1
SKU0573,Cosméticos Médicos,2021-07-27,1.0,1.0,180,25,150,3750,1
SKU0574,OPME,2021-07-28,1.0,1.0,206,33,12000,396000,1
SKU0575,OPME,2021-07-29,1.0,1.0,185,36,12000,432000,1
SKU0576,Endoscópios,2021-07-30,1.0,1.0,229,43,5000,215000,1
SKU0577,Medicamentos,2021-07-31,1.0,1.0,217,52,80,4160,1
SKU0578,Endoscópios,2021-08-01,1.5,1.7,212,47,5000,235000,0
SKU0579,Medicamentos,2021-08-02,1.8,1.0,215,49,80,3920,1
SKU0580,Medicamentos,2021-08-03,1.0,1.0,204,49,80,3920,1
SKU0581,OPME,2021-08-04,2.0,2.6,190,30,12000,360000,0
SKU0582,Suturas,2021-08-05,1.0,1.0,200,32,50,1600,1
SKU0583,Suturas,2021-08-06,1.6,2.9,194,36,50,1800,0
SKU0584,Cosméticos Médicos,2021-08-07,3.4,2.1,194,31,150,4650,1
SKU0585,OPME,2021-08-08,2.0,1.6,222,65,12000,780000,1
SKU0586,Medicamentos,2021-08-09,1.0,1.0,195,51,80,4080,1
SKU0587,Suturas,2021-08-10,1.0,1.0,205,27,50,1350,1
SKU0588,Medicamentos,2021-08-11,1.0,1.0,227,22,80,1760,1
SKU0589,Suturas,2021-08-12,1.0,1.0,232,25,50,1250,1
SKU0590,Suturas,2021-08-13,1.1,1.0,204,30,50,1500,1
SKU0591,Suturas,2021-08-14,1.0,1.0,221,27,50,1350,1
SKU0592,OPME,2021-08-15,1.0,1.0,207,42,12000,504000,1
SKU0593,Endoscópios,2021-08-16,1.2,1.7,183,49,5000,245000,0
SKU0594,Medicamentos,2021-08-17,1.0,1.0,219,54,80,4320,1
SKU0595,OPME,2021-08-18,1.0,1.0,181,25,12000,300000,1
SKU0596,OPME,2021-08-19,1.0,1.0,204,36,12000,432000,1
SKU0597,OPME,2021-08-20,1.4,2.7,190,38,12000,456000,0
SKU0598,OPME,2021-08-21,1.0,1.0,197,51,12000,612000,1
SKU0599,OPME,2021-08-22,2.8,2.7,184,49,12000,588000,1
SKU0600,Cosméticos Médicos,2021-08-23,1.0,2.6,201,56,150,8400,0
SKU0601,Medicamentos,2021-08-24,1.0,1.7,225,45,80,3600,0
SKU0602,OPME,2021-08-25,1.8,1.0,210,50,12000,600000,1
SKU0603,Medicamentos,2021-08-26,1.3,1.0,186,22,80,1760,1
SKU0604,Cosméticos Médicos,2021-08-27,2.4,4.0,208,44,150,6600,0
SKU0605,Cosméticos Médicos,2021-08-28,1.4,1.0,197,29,150,4350,1
SKU0606,Medicamentos,2021-08-29,1.0,1.0,213,39,80,3120,1
SKU0607,Suturas,2021-08-30,1.9,2.1,213,48,50,2400,0
SKU0608,Endoscópios,2021-08-31,1.0,1.2,206,31,5000,155000,0
SKU0609,Suturas,2021-09-01,1.6,2.8,190,20,50,1000,0
SKU0610,Suturas,2021-09-02,1.4,1.0,180,18,50,900,1
SKU0611,Suturas,2021-09-03,1.1,1.1,187,19,50,950,1
SKU0612,OPME,2021-09-04,1.0,1.0,223,22,12000,264000,1
SKU0613,Cosméticos Médicos,2021-09-05,1.0,1.0,209,25,150,3750,1
SKU0614,Suturas,2021-09-06,1.0,2.3,178,26,50,1300,0
SKU0615,Cosméticos Médicos,2021-09-07,1.1,1.0,203,29,150,4350,1
SKU0616,Medicamentos,2021-09-08,1.2,3.7,211,62,80,4960,0
SKU0617,Endoscópios,2021-09-09,1.0,1.0,208,33,5000,165000,1
SKU0618,Medicamentos,2021-09-10,2.9,4.5,216,27,80,2160,0
SKU0619,Medicamentos,2021-09-11,1.0,1.0,206,43,80,3440,1
SKU0620,OPME,2021-09-12,2.2,1.3,207,56,12000,672000,1
SKU0621,Endoscópios,2021-09-13,1.7,1.0,199,46,5000,230000,1
SKU0622,Medicamentos,2021-09-14,1.0,1.0,198,31,80,2480,1
SKU0623,Medicamentos,2021-09-15,3.7,4.4,200,42,80,3360,0
SKU0624,Endoscópios,2021-09-16,1.0,1.2,214,51,5000,255000,0
SKU0625,Endoscópios,2021-09-17,2.5,1.1,188,46,5000,230000,1
SKU0626,Medicamentos,2021-09-18,2.5,2.0,215,50,80,4000,1
SKU0627,Endoscópios,2021-09-19,1.0,1.0,201,55,5000,275000,1
SKU0628,Medicamentos,2021-09-20,3.1,1.0,194,53,80,4240,1
SKU0629,Medicamentos,2021-09-21,1.0,1.5,189,40,80,3200,0
SKU0630,OPME,2021-09-22,1.1,1.0,213,39,12000,468000,1
SKU0631,Suturas,2021-09-23,1.8,2.2,190,43,50,2150,0
SKU0632,Medicamentos,2021-09-24,1.0,1.0,194,51,80,4080,1
SKU0633,Cosméticos Médicos,2021-09-25,2.2,1.0,198,20,150,3000,1
SKU0634,Suturas,2021-09-26,2.6,3.6,209,62,50,3100,0
SKU0635,Suturas,2021-09-27,1.0,1.0,218,29,50,1450,1
SKU0636,Suturas,2021-09-28,3.4,4.1,181,35,50,1750,0
SKU0637,OPME,2021-09-29,1.0,1.0,214,58,12000,696000,1
SKU0638,Medicamentos,2021-09-30,2.5,3.0,193,27,80,2160,0
SKU0639,OPME,2021-10-01,2.4,4.2,199,38,12000,456000,0
SKU0640,Medicamentos,2021-10-02,1.0,1.0,205,25,80,2000,1
SKU0641,OPME,2021-10-03,1.0,1.6,231,41,12000,492000,0
SKU0642,OPME,2021-10-04,1.0,1.0,240,32,12000,384000,1
SKU0643,Cosméticos Médicos,2021-10-05,1.0,1.0,199,34,150,5100,1
SKU0644,OPME,2021-10-06,1.0,1.0,198,34,12000,408000,1
SKU0645,Endoscópios,2021-10-07,2.3,1.0,197,58,5000,290000,1
SKU0646,Cosméticos Médicos,2021-10-08,3.0,1.9,210,62,150,9300,1
SKU0647,OPME,2021-10-09,2.8,3.7,216,26,12000,312000,0
SKU0648,Suturas,2021-10-10,1.0,2.2,204,50,50,2500,0
SKU0649,Endoscópios,2021-10-11,1.0,1.2,195,21,5000,105000,0
SKU0650,Endoscópios,2021-10-12,1.0,1.0,192,20,5000,100000,1
SKU0651,Endoscópios,2021-10-13,1.0,1.0,187,22,5000,110000,1
SKU0652,Cosméticos Médicos,2021-10-14,2.4,2.9,208,60,150,9000,0
SKU0653,OPME,2021-10-15,3.1,2.4,232,66,12000,792000,1
SKU0654,OPME,2021-10-16,1.0,1.0,218,30,12000,360000,1
SKU0655,Suturas,2021-10-17,1.0,1.0,203,26,50,1300,1
SKU0656,Suturas,2021-10-18,1.4,1.8,201,29,50,1450,0
SKU0657,Endoscópios,2021-10-19,1.5,2.5,176,35,5000,175000,0
SKU0658,Suturas,2021-10-20,1.0,1.0,198,42,50,2100,1
SKU0659,Cosméticos Médicos,2021-10-21,1.6,1.4,195,28,150,4200,1
SKU0660,OPME,2021-10-22,1.0,1.0,214,53,12000,636000,1
SKU0661,Endoscópios,2021-10-23,1.1,2.5,186,30,5000,150000,0
SKU0662,Suturas,2021-10-24,2.2,4.1,210,59,50,2950,0
SKU0663,Cosméticos Médicos,2021-10-25,1.0,1.9,200,46,150,6900,0
SKU0664,Cosméticos Médicos,2021-10-26,1.0,1.0,196,36,150,5400,1
SKU0665,Suturas,2021-10-27,1.2,1.0,210,54,50,2700,1
SKU0666,OPME,2021-10-28,1.0,1.0,185,48,12000,576000,1
SKU0667,Suturas,2021-10-29,1.0,2.7,191,30,50,1500,0
SKU0668,Endoscópios,2021-10-30,1.0,2.9,180,30,5000,150000,0
SKU0669,Suturas,2021-10-31,3.8,6.4,191,54,50,2700,0
SKU0670,Cosméticos Médicos,2021-11-01,1.8,2.5,218,28,150,4200,0
SKU0671,Suturas,2021-11-02,1.0,1.9,212,22,50,1100,0
SKU0672,OPME,2021-11-03,1.7,1.0,208,39,12000,468000,1
SKU0673,Medicamentos,2021-11-04,1.0,1.0,196,51,80,4080,1
SKU0674,Suturas,2021-11-05,3.2,6.9,202,51,50,2550,0
SKU0675,OPME,2021-11-06,1.3,1.0,181,51,12000,612000,1
SKU0676,OPME,2021-11-07,1.0,2.8,206,42,12000,504000,0
SKU0677,Cosméticos Médicos,2021-11-08,1.7,1.2,232,27,150,4050,1
SKU0678,OPME,2021-11-09,1.0,1.0,192,41,12000,492000,1
SKU0679,OPME,2021-11-10,1.0,1.0,192,49,12000,588000,1
SKU0680,OPME,2021-11-11,1.0,1.0,201,23,12000,276000,1
SKU0681,OPME,2021-11-12,1.0,1.0,179,24,12000,288000,1
SKU0682,Endoscópios,2021-11-13,3.7,1.9,213,21,5000,105000,1
SKU0683,Endoscópios,2021-11-14,4.4,5.2,209,45,5000,225000,0
SKU0684,Cosméticos Médicos,2021-11-15,2.0,3.5,196,54,150,8100,0
SKU0685,Suturas,2021-11-16,2.2,1.7,238,55,50,2750,1
SKU0686,OPME,2021-11-17,1.0,1.0,197,58,12000,696000,1
SKU0687,Suturas,2021-11-18,1.0,1.0,195,21,50,1050,1
SKU0688,Suturas,2021-11-19,1.0,1.0,169,47,50,2350,1
SKU0689,Cosméticos Médicos,2021-11-20,1.0,1.0,197,51,150,7650,1
SKU0690,OPME,2021-11-21,1.0,1.7,214,34,12000,408000,0
SKU0691,OPME,2021-11-22,1.0,1.0,199,58,12000,696000,1
SKU0692,Medicamentos,2021-11-23,1.0,1.0,206,32,80,2560,1
SKU0693,Suturas,2021-11-24,2.5,3.9,188,52,50,2600,0
SKU0694,Suturas,2021-11-25,1.0,1.0,164,45,50,2250,1
SKU0695,Endoscópios,2021-11-26,1.5,1.0,191,48,5000,240000,1
SKU0696,Medicamentos,2021-11-27,4.1,3.7,189,40,80,3200,1
SKU0697,Endoscópios,2021-11-28,1.0,1.0,201,24,5000,120000,1
SKU0698,Endoscópios,2021-11-29,1.0,1.0,219,45,5000,225000,1
SKU0699,Endoscópios,2021-11-30,1.0,1.4,193,33,5000,165000,0
SKU0700,Cosméticos Médicos,2021-12-01,2.7,1.0,195,50,150,7500,1
SKU0701,Cosméticos Médicos,2021-12-02,3.9,4.2,207,52,150,7800,0
SKU0702,Endoscópios,2021-12-03,1.0,1.0,203,57,5000,285000,1
SKU0703,Medicamentos,2021-12-04,1.7,4.0,186,19,80,1520,0
SKU0704,Suturas,2021-12-05,1.0,2.3,228,59,50,2950,0
SKU0705,Medicamentos,2021-12-06,1.0,2.0,207,59,80,4720,0
SKU0706,OPME,2021-12-07,4.7,3.4,181,46,12000,552000,1
SKU0707,Cosméticos Médicos,2021-12-08,1.0,1.0,192,24,150,3600,1
SKU0708,Suturas,2021-12-09,1.8,4.4,185,21,50,1050,0
SKU0709,Suturas,2021-12-10,2.1,1.0,195,20,50,1000,1
SKU0710,OPME,2021-12-11,2.3,1.1,202,45,12000,540000,1
SKU0711,OPME,2021-12-12,1.0,1.0,191,43,12000,516000,1
